Sat1_mean;Sat2_mean;Sat3_mean;Sat4_mean;Age;Manager;LineManagerCount;qMan1;qEng1;qEng2;Talent2014;Custloyalty_mean;CustSatMean_mean;INvestMore_mean;Sex
2,67;3,33;3,17;3,67;30,00;0,00;0,00;;;;0,00;3,29;3,21;2,57;1,00
2,50;3,50;1,00;3,00;44,00;1,00;10,00;4,00;3,00;2,00;1,00;2,00;2,96;2,00;2,00
3,63;4,13;3,63;3,88;29,00;0,00;0,00;1,00;2,00;2,00;1,00;3,50;3,81;2,67;2,00
3,17;3,67;3,50;3,50;42,00;0,00;0,00;4,00;4,00;3,00;0,00;3,80;3,46;2,75;2,00
3,00;3,00;3,25;3,00;46,00;0,00;0,00;4,00;4,00;1,00;0,00;3,75;3,06;3,25;2,00
2,87;4,07;3,00;3,91;50,00;0,00;0,00;;;;0,00;2,92;3,39;2,30;2,00
3,00;3,00;4,00;4,00;44,00;1,00;10,00;;;;1,00;4,00;3,50;3,00;2,00
3,00;3,22;3,00;3,33;59,00;0,00;0,00;2,00;3,00;5,00;0,00;3,55;3,12;2,86;2,00
4,50;4,50;4,50;4,50;45,00;0,00;0,00;;;;0,00;4,50;4,50;2,50;2,00
2,80;4,00;5,00;5,00;56,00;0,00;0,00;3,00;;2,00;0,00;4,00;3,55;4,00;1,00
2,00;2,33;2,00;2,00;39,00;0,00;0,00;5,00;5,00;4,00;0,00;3,67;2,08;3,00;2,00
4,33;4,00;4,33;3,67;41,00;0,00;0,00;;4,00;4,00;0,00;3,67;4,08;3,67;2,00
3,00;3,00;3,00;4,00;34,00;0,00;0,00;4,00;4,00;4,00;0,00;5,00;3,25;3,00;1,00
4,00;3,50;4,00;4,00;36,00;0,00;0,00;;;;0,00;4,50;3,88;3,00;1,00
3,00;4,00;3,50;3,00;44,00;0,00;0,00;4,00;3,00;4,00;0,00;3,00;3,42;3,00;2,00
4,50;4,50;4,50;3,50;43,00;1,00;20,00;;;;0,00;4,50;4,25;3,00;2,00
1,50;2,00;1,50;;31,00;0,00;0,00;;;;1,00;2,50;1,67;;2,00
5,00;5,00;5,00;5,00;31,00;0,00;0,00;4,00;5,00;4,00;0,00;5,00;5,00;3,00;2,00
4,00;4,00;4,00;;32,00;0,00;0,00;5,00;5,00;4,00;0,00;;4,00;;1,00
4,00;4,50;5,00;4,00;50,00;0,00;0,00;1,00;3,00;4,00;0,00;5,00;4,50;3,00;2,00
4,00;4,25;4,00;3,75;50,00;0,00;0,00;;;;0,00;4,00;4,00;2,75;1,00
3,50;3,50;3,50;3,00;42,00;0,00;0,00;;;;0,00;3,00;3,38;3,50;2,00
3,17;3,29;3,43;3,57;47,00;0,00;0,00;4,00;2,00;2,00;0,00;4,14;3,37;3,14;2,00
2,00;1,00;2,00;3,00;36,00;1,00;2,00;;;;1,00;2,00;2,00;1,00;2,00
2,75;3,60;4,00;2,80;55,00;0,00;0,00;;;;0,00;3,80;3,25;3,00;1,00
4,00;5,00;4,00;5,00;47,00;0,00;0,00;2,00;3,00;2,00;0,00;4,00;4,50;2,00;2,00
3,09;3,45;2,91;3,70;36,00;0,00;0,00;1,00;3,00;3,00;0,00;2,90;3,27;2,30;1,00
3,29;3,86;3,29;3,43;41,00;0,00;0,00;;;;0,00;3,29;3,46;2,71;2,00
4,14;4,43;4,00;4,50;44,00;0,00;0,00;;;;0,00;3,60;4,29;3,20;1,00
3,67;4,00;3,83;4,00;34,00;0,00;0,00;5,00;2,00;4,00;0,00;2,50;3,89;2,60;2,00
2,88;3,25;2,38;3,43;38,00;0,00;0,00;3,00;2,00;2,00;0,00;3,00;2,91;2,29;2,00
3,67;4,00;3,33;3,00;41,00;0,00;0,00;;;;0,00;3,25;3,64;2,00;2,00
4,75;4,75;4,25;4,00;54,00;0,00;0,00;;;;0,00;4,00;4,58;3,00;2,00
3,08;3,75;3,17;3,70;46,00;0,00;0,00;3,00;2,00;2,00;0,00;3,22;3,42;2,60;1,00
2,83;3,43;3,00;3,00;40,00;0,00;0,00;4,00;4,00;2,00;1,00;3,20;3,18;2,75;2,00
3,50;4,10;3,33;3,67;42,00;0,00;0,00;4,00;2,00;2,00;0,00;3,67;3,78;2,25;2,00
3,57;4,14;2,86;3,67;39,00;0,00;0,00;1,00;4,00;1,00;1,00;3,00;3,60;2,83;2,00
3,57;4,14;3,71;3,89;36,00;0,00;0,00;;;;0,00;3,38;3,84;2,89;2,00
3,57;3,71;3,57;4,20;41,00;0,00;0,00;;4,00;4,00;0,00;2,80;3,73;2,60;2,00
3,88;3,88;3,63;3,86;42,00;1,00;8,00;4,00;4,00;4,00;1,00;4,57;3,78;3,17;2,00
2,67;3,67;2,67;3,00;52,00;1,00;10,00;5,00;5,00;4,00;0,00;3,00;3,00;2,50;2,00
5,00;5,00;5,00;;48,00;0,00;0,00;;;;0,00;;5,00;;2,00
2,80;3,40;2,60;3,33;43,00;1,00;7,00;5,00;5,00;2,00;0,00;4,00;2,93;2,75;2,00
3,50;4,00;3,50;2,00;53,00;1,00;14,00;;;;0,00;2,00;3,63;3,00;2,00
2,67;3,33;3,33;3,33;46,00;1,00;6,00;4,00;4,00;2,00;0,00;3,67;3,17;2,33;2,00
3,33;3,63;2,88;3,83;41,00;0,00;0,00;4,00;3,00;3,00;0,00;3,33;3,39;2,83;2,00
4,00;4,20;3,60;4,00;33,00;0,00;0,00;;;;1,00;4,80;4,00;2,80;1,00
4,00;4,00;3,00;4,00;47,00;1,00;6,00;4,00;4,00;4,00;0,00;3,50;3,75;2,50;2,00
3,50;3,83;2,80;4,20;46,00;0,00;0,00;4,00;3,00;2,00;1,00;3,17;3,58;2,50;2,00
3,47;3,75;3,06;3,21;34,00;0,00;0,00;4,00;5,00;5,00;1,00;4,00;3,40;2,85;1,00
3,40;3,60;3,00;3,67;39,00;0,00;0,00;5,00;3,00;4,00;1,00;2,67;3,37;3,00;2,00
1,50;2,50;2,25;1,75;41,00;0,00;0,00;4,00;4,00;4,00;0,00;2,25;2,00;2,50;2,00
4,20;4,60;4,00;4,25;30,00;0,00;0,00;4,00;4,00;3,00;0,00;4,40;4,25;3,60;1,00
4,00;4,00;4,00;4,00;36,00;0,00;0,00;2,00;3,00;4,00;1,00;3,00;4,00;3,00;2,00
3,67;3,33;3,00;3,67;36,00;0,00;0,00;4,00;4,00;4,00;0,00;3,67;3,42;3,33;2,00
3,50;3,50;4,00;3,50;43,00;0,00;0,00;5,00;3,00;3,00;1,00;5,00;3,63;2,50;2,00
3,50;4,00;4,00;4,00;37,00;0,00;0,00;;;;0,00;4,50;3,88;3,00;2,00
3,75;3,75;3,25;3,50;44,00;0,00;0,00;;;;0,00;4,25;3,56;3,33;1,00
3,00;3,00;3,00;3,00;43,00;1,00;4,00;;;;0,00;4,50;3,00;3,50;2,00
4,00;4,40;4,00;4,67;48,00;0,00;0,00;4,00;4,00;4,00;0,00;3,33;4,13;3,00;2,00
3,00;4,00;3,50;3,00;34,00;0,00;0,00;3,00;4,00;3,00;0,00;3,75;3,38;2,75;2,00
2,67;3,10;3,20;2,89;35,00;0,00;0,00;;;;0,00;3,90;3,03;3,00;2,00
3,00;4,00;3,00;2,00;35,00;0,00;0,00;;;;0,00;3,00;3,00;3,00;2,00
4,11;4,22;3,67;4,20;36,00;0,00;0,00;4,00;2,00;2,00;0,00;3,67;4,01;3,60;2,00
4,13;4,25;3,88;4,00;57,00;0,00;0,00;5,00;5,00;5,00;0,00;4,33;4,04;2,83;2,00
4,00;4,00;4,00;3,50;34,00;0,00;0,00;2,00;3,00;4,00;0,00;5,00;3,88;4,00;1,00
4,67;4,67;4,67;4,67;30,00;0,00;0,00;4,00;4,00;4,00;0,00;4,67;4,67;4,00;1,00
5,00;5,00;5,00;5,00;44,00;0,00;0,00;4,00;5,00;2,00;0,00;5,00;5,00;3,00;2,00
4,00;4,38;3,75;4,25;40,00;0,00;0,00;5,00;3,00;4,00;0,00;4,50;4,05;2,75;1,00
3,50;3,50;3,50;4,00;45,00;0,00;0,00;;;;0,00;4,50;3,63;3,00;2,00
4,00;4,00;4,00;4,00;54,00;1,00;5,00;4,00;3,00;4,00;0,00;5,00;4,00;2,00;2,00
3,36;4,00;3,56;3,75;50,00;1,00;5,00;4,00;4,00;3,00;0,00;4,11;3,57;3,00;2,00
2,60;3,60;3,00;3,40;55,00;0,00;0,00;4,00;1,00;2,00;0,00;3,67;3,15;2,33;1,00
3,33;3,67;3,50;3,67;40,00;0,00;0,00;2,00;1,00;2,00;0,00;3,00;3,58;2,67;1,00
3,00;2,00;3,00;4,00;54,00;0,00;0,00;1,00;;4,00;0,00;4,00;3,00;3,00;2,00
3,30;3,90;3,10;3,44;43,00;0,00;0,00;5,00;4,00;3,00;0,00;3,56;3,43;2,67;2,00
4,50;4,50;4,50;;47,00;1,00;12,00;4,00;;3,00;0,00;5,00;4,50;3,00;2,00
4,25;4,25;4,00;4,00;46,00;0,00;0,00;;;;0,00;3,50;4,19;3,50;2,00
4,33;4,50;3,83;4,40;43,00;0,00;0,00;;;;0,00;3,20;4,29;3,40;2,00
4,63;4,75;4,00;4,20;40,00;0,00;0,00;;;;0,00;4,20;4,46;3,00;2,00
4,00;4,29;4,00;4,00;42,00;0,00;0,00;4,00;3,00;3,00;0,00;4,25;4,10;3,00;2,00
3,00;3,00;3,00;4,00;43,00;1,00;7,00;1,00;5,00;5,00;0,00;5,00;3,25;3,00;2,00
4,17;4,17;4,00;4,20;56,00;0,00;0,00;;;;0,00;4,67;4,04;3,20;2,00
2,86;3,43;2,86;3,14;52,00;0,00;0,00;2,00;5,00;5,00;0,00;3,86;3,07;2,43;2,00
3,64;3,86;3,29;3,50;50,00;0,00;0,00;5,00;3,00;4,00;0,00;4,00;3,57;2,93;2,00
3,33;2,33;2,67;3,33;34,00;0,00;0,00;;;;0,00;3,33;2,92;2,67;2,00
2,75;3,50;3,00;3,75;43,00;0,00;0,00;4,00;3,00;4,00;0,00;4,25;3,50;3,20;2,00
3,50;4,00;4,00;4,00;32,00;0,00;0,00;4,00;3,00;3,00;0,00;3,67;3,69;3,00;2,00
3,00;3,40;3,50;3,10;38,00;0,00;0,00;4,00;5,00;5,00;0,00;4,10;3,25;2,70;2,00
4,00;4,00;3,00;2,00;35,00;0,00;0,00;4,00;4,00;5,00;0,00;4,00;3,25;3,00;2,00
2,33;2,83;2,00;2,83;43,00;1,00;4,00;5,00;4,00;4,00;0,00;3,17;2,50;2,33;2,00
3,71;4,00;3,86;4,00;45,00;1,00;10,00;4,00;3,00;3,00;0,00;4,14;3,89;2,83;2,00
3,67;4,00;4,33;3,67;30,00;0,00;0,00;4,00;2,00;2,00;0,00;4,33;3,92;3,33;2,00
